path=. ino=2 mode=40755 nlink=21 uid=0 gid=0 size=1024 atime=1515801807 mtime=1515801802 ctime=1515801802
path=./bin ino=59161 mode=40755 nlink=2 uid=0 gid=0 size=5120 atime=1515802787 mtime=1515802442 ctime=1515802442
path=./bin/bash ino=59163 mode=100755 nlink=1 uid=0 gid=0 size=1265272 atime=1515801752 mtime=1494877532 ctime=1515801744 md5=b49d4cb54292843e3cdee61b4a6b5073
path=./bin/busybox ino=59169 mode=100755 nlink=1 uid=0 gid=0 size=625828 atime=1515801803 mtime=1460907444 ctime=1515801773 md5=bba2dfaf2332e06b5961393a7a90f304
path=./bin/cat ino=59167 mode=100755 nlink=1 uid=0 gid=0 size=34676 atime=1515801754 mtime=1487766225 ctime=1515801745 md5=9c906789d8645546ce8d56ebf4dd2560
path=./bin/chgrp ino=59168 mode=100755 nlink=1 uid=0 gid=0 size=67476 atime=1515801742 mtime=1487766225 ctime=1515801745 md5=4b0b0f0deb336798dba703443279075d
path=./bin/chmod ino=59609 mode=100755 nlink=1 uid=0 gid=0 size=63348 atime=1515801751 mtime=1487766225 ctime=1515801745 md5=95dcc076aef2855d05cb5b64ec8957f6
path=./bin/chown ino=59610 mode=100755 nlink=1 uid=0 gid=0 size=71572 atime=1515801751 mtime=1487766225 ctime=1515801745 md5=fa5715e8ac6aad8004efb68c611f2c51
path=./bin/chvt ino=59171 mode=100755 nlink=1 uid=0 gid=0 size=9808 atime=1515801808 mtime=1452012955 ctime=1515801809 md5=035ad0261b7e20f91f5c793c87ec258b
path=./bin/cp ino=59611 mode=100755 nlink=1 uid=0 gid=0 size=141460 atime=1515801751 mtime=1487766225 ctime=1515801745 md5=43be8bf294f8ce0c0d22721c4bd1d2a5
path=./bin/cpio ino=60280 mode=100755 nlink=1 uid=0 gid=0 size=163668 atime=1515801803 mtime=1480422713 ctime=1515801757 md5=ea72c92ada59e2afde93e46f04ca7047
path=./bin/dash ino=59164 mode=100755 nlink=1 uid=0 gid=0 size=124492 atime=1515801746 mtime=1485235016 ctime=1515801744 md5=d4a4a1a134373efe6be3266f8afd1a88
path=./bin/date ino=59612 mode=100755 nlink=1 uid=0 gid=0 size=108436 atime=1515801752 mtime=1487766225 ctime=1515801745 md5=7fd3de21d995280da51b82ceb521ab73
path=./bin/dd ino=59613 mode=100755 nlink=1 uid=0 gid=0 size=83928 atime=1515801896 mtime=1487766225 ctime=1515801745 md5=4e1970a583b24d6aaa70002d05aa09d3
path=./bin/df ino=59614 mode=100755 nlink=1 uid=0 gid=0 size=92476 atime=1515801870 mtime=1487766225 ctime=1515801745 md5=03db13d38beb420a04a041dda63deade
path=./bin/dir ino=59615 mode=100755 nlink=1 uid=0 gid=0 size=141592 atime=1515801742 mtime=1487766225 ctime=1515801745 md5=8ade21ac8d5d8caa24e22ac097a8122b
path=./bin/dmesg ino=59649 mode=100755 nlink=1 uid=0 gid=0 size=71760 atime=1515801742 mtime=1490175813 ctime=1515801749 md5=e5287bc599c3222ac22acedffa27343e
path=./bin/dnsdomainname ino=59201 mode=120777 nlink=1 uid=0 gid=0 size=8 atime=1515801742 mtime=1467573977 ctime=1515801747 target=hostname
path=./bin/domainname ino=59203 mode=120777 nlink=1 uid=0 gid=0 size=8 atime=1515801742 mtime=1467573977 ctime=1515801747 target=hostname
path=./bin/dumpkeys ino=59172 mode=100755 nlink=1 uid=0 gid=0 size=104340 atime=1515801808 mtime=1452012955 ctime=1515801809 md5=c0b0e37ea90411f76842892db75714a4
path=./bin/echo ino=59616 mode=100755 nlink=1 uid=0 gid=0 size=34612 atime=1515801914 mtime=1487766225 ctime=1515801745 md5=eab668c67187a2cd31e6be34e5d30307
path=./bin/egrep ino=59635 mode=100755 nlink=1 uid=0 gid=0 size=28 atime=1515801810 mtime=1485195539 ctime=1515801747 md5=ef55d1537377114cc24cdc398fbdd930
path=./bin/false ino=59617 mode=100755 nlink=1 uid=0 gid=0 size=30516 atime=1515801742 mtime=1487766225 ctime=1515801745 md5=c29beaead356781af8aa81babc3390ee
path=./bin/fgconsole ino=59173 mode=100755 nlink=1 uid=0 gid=0 size=9812 atime=1515801808 mtime=1452012955 ctime=1515801809 md5=b8e51341efea0e20e58124f5b8c26485
path=./bin/fgrep ino=59636 mode=100755 nlink=1 uid=0 gid=0 size=28 atime=1515801924 mtime=1485195539 ctime=1515801747 md5=3885488b9d1d10902c6b9c18e20bf952
path=./bin/findmnt ino=59225 mode=100755 nlink=1 uid=0 gid=0 size=64336 atime=1515801742 mtime=1490175813 ctime=1515801750 md5=8456d3a052f5323265c6ab50f119fbf4
path=./bin/grep ino=59637 mode=100755 nlink=1 uid=0 gid=0 size=226872 atime=1515801751 mtime=1485195539 ctime=1515801747 md5=6dc2f9777eb30ca107134abf9dac1c4d
path=./bin/gunzip ino=59197 mode=100755 nlink=2 uid=0 gid=0 size=2301 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=66c1aae4b4d46f1ab430a7c325c9c948
path=./bin/gzexe ino=59198 mode=100755 nlink=1 uid=0 gid=0 size=5927 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=5707c43e99bd5ae2c4660ec1bcc213c1
path=./bin/gzip ino=59199 mode=100755 nlink=1 uid=0 gid=0 size=105172 atime=1515801803 mtime=1457988105 ctime=1515801747 md5=18d602265c64af3276fc25fd1879df73
path=./bin/hostname ino=59200 mode=100755 nlink=1 uid=0 gid=0 size=13996 atime=1515801742 mtime=1467573977 ctime=1515801747 md5=e8725d597df3e845ddd31ed9a8f9c413
path=./bin/ip ino=60376 mode=100755 nlink=1 uid=0 gid=0 size=518804 atime=1515801945 mtime=1511515330 ctime=1515801758 md5=f85b9a119ff22ecdd281b16a7a2f8b26
path=./bin/journalctl ino=60143 mode=100755 nlink=1 uid=0 gid=0 size=63096 atime=1515801755 mtime=1499286685 ctime=1515801754 md5=46096052eb061aa86c83cdbda5d30059
path=./bin/kbd_mode ino=59174 mode=100755 nlink=1 uid=0 gid=0 size=9808 atime=1515801811 mtime=1452012955 ctime=1515801809 md5=77be784a647fba1dd38c07f8e413f258
path=./bin/kill ino=60141 mode=100755 nlink=1 uid=0 gid=0 size=21920 atime=1515801752 mtime=1479812694 ctime=1515801753 md5=fbef38e20d2d89ccb6a949bc7a844db6
path=./bin/kmod ino=60596 mode=100755 nlink=1 uid=0 gid=0 size=177616 atime=1515801801 mtime=1482720174 ctime=1515801759 md5=23267e1e86aa580dcbe051b2bbc8c93e
path=./bin/ln ino=59618 mode=100755 nlink=1 uid=0 gid=0 size=59288 atime=1515801751 mtime=1487766225 ctime=1515801745 md5=f4d72403c06bb9b0c0f0ef9777cd2d28
path=./bin/loadkeys ino=59175 mode=100755 nlink=1 uid=0 gid=0 size=145548 atime=1515801811 mtime=1452012955 ctime=1515801809 md5=6802254478774750383147702964defe
path=./bin/login ino=59219 mode=100755 nlink=1 uid=0 gid=0 size=51304 atime=1515801948 mtime=1495022399 ctime=1515801750 md5=48aa81d6f5f33e4b8e3ab78f265211af
path=./bin/loginctl ino=60144 mode=100755 nlink=1 uid=0 gid=0 size=46708 atime=1515801752 mtime=1499286685 ctime=1515801754 md5=ba98e9475c0126fe4ed4cec3fd1f78bd
path=./bin/ls ino=59619 mode=100755 nlink=1 uid=0 gid=0 size=141592 atime=1515801763 mtime=1487766225 ctime=1515801745 md5=4cba429cd571fde9d5ec499c1836172a
path=./bin/lsblk ino=59650 mode=100755 nlink=1 uid=0 gid=0 size=88200 atime=1515801742 mtime=1490175813 ctime=1515801749 md5=9c4b9fd706943e469995234426aa8fbb
path=./bin/lsmod ino=60598 mode=120777 nlink=1 uid=0 gid=0 size=4 atime=1515801755 mtime=1482720174 ctime=1515801759 target=kmod
path=./bin/mkdir ino=59620 mode=100755 nlink=1 uid=0 gid=0 size=83956 atime=1515801758 mtime=1487766225 ctime=1515801745 md5=94e9eb5a058ec460b276ed3d45b689de
path=./bin/mknod ino=59621 mode=100755 nlink=1 uid=0 gid=0 size=71636 atime=1515801742 mtime=1487766225 ctime=1515801745 md5=156b00f5c7c699420ac328dbfe98ad81
path=./bin/mktemp ino=59622 mode=100755 nlink=1 uid=0 gid=0 size=42868 atime=1515801802 mtime=1487766225 ctime=1515801745 md5=fa4583e8ef379547b0452e55a590d757
path=./bin/more ino=59651 mode=100755 nlink=1 uid=0 gid=0 size=42812 atime=1515802127 mtime=1490175813 ctime=1515801749 md5=9dfce84a7c6adc22adfa215d764f59f9
path=./bin/mount ino=59226 mode=104755 nlink=1 uid=0 gid=0 size=38940 atime=1515801822 mtime=1490175813 ctime=1515801750 md5=76f501f9b3724dfc0d492e6e412d8f7d
path=./bin/mountpoint ino=59652 mode=100755 nlink=1 uid=0 gid=0 size=9872 atime=1515801742 mtime=1490175813 ctime=1515801749 md5=9b258061762e7b207252d0f2708c2226
path=./bin/mt ino=60988 mode=120777 nlink=1 uid=0 gid=0 size=20 atime=1515801762 mtime=1515801762 ctime=1515801762 target=/etc/alternatives/mt
path=./bin/mt-gnu ino=60281 mode=100755 nlink=1 uid=0 gid=0 size=75956 atime=1515801755 mtime=1480422713 ctime=1515801757 md5=eec044c65f166148ec4b8f8f71bb8774
path=./bin/mv ino=59623 mode=100755 nlink=1 uid=0 gid=0 size=137368 atime=1515801752 mtime=1487766225 ctime=1515801745 md5=40aa416cab61c2ed09e51ce6ad7b17cb
path=./bin/networkctl ino=60145 mode=100755 nlink=1 uid=0 gid=0 size=42600 atime=1515801752 mtime=1499286685 ctime=1515801754 md5=699651ae41e84ba5c1020f764cb98d87
path=./bin/nisdomainname ino=59205 mode=120777 nlink=1 uid=0 gid=0 size=8 atime=1515801742 mtime=1467573977 ctime=1515801747 target=hostname
path=./bin/open ino=59180 mode=120777 nlink=1 uid=0 gid=0 size=6 atime=1515801808 mtime=1452012955 ctime=1515801809 target=openvt
path=./bin/openvt ino=59176 mode=100755 nlink=1 uid=0 gid=0 size=14212 atime=1515801808 mtime=1452012955 ctime=1515801809 md5=7b4c1b3687af76b2989140cb8453c1a8
path=./bin/pidof ino=59228 mode=120777 nlink=1 uid=0 gid=0 size=14 atime=1515801810 mtime=1486936539 ctime=1515801750 target=/sbin/killall5
path=./bin/ping ino=60578 mode=104755 nlink=1 uid=0 gid=0 size=68076 atime=1515801755 mtime=1478759012 ctime=1515801763 md5=0ec46eb881f7e95524d0529cc58934d6
path=./bin/ping4 ino=60584 mode=120777 nlink=1 uid=0 gid=0 size=4 atime=1515801755 mtime=1478759012 ctime=1515801758 target=ping
path=./bin/ping6 ino=60585 mode=120777 nlink=1 uid=0 gid=0 size=4 atime=1515801755 mtime=1478759012 ctime=1515801758 target=ping
path=./bin/ps ino=60142 mode=100755 nlink=1 uid=0 gid=0 size=112196 atime=1515801752 mtime=1479812694 ctime=1515801753 md5=00e7c7b6634d5e0b43c08f20f0986cbf
path=./bin/pwd ino=59624 mode=100755 nlink=1 uid=0 gid=0 size=34644 atime=1515801742 mtime=1487766225 ctime=1515801745 md5=319086b8c4dc1812381b1732c1593e2a
path=./bin/rbash ino=59165 mode=120777 nlink=1 uid=0 gid=0 size=4 atime=1515801752 mtime=1494877532 ctime=1515801744 target=bash
path=./bin/readlink ino=59625 mode=100755 nlink=1 uid=0 gid=0 size=46932 atime=1515801752 mtime=1487766225 ctime=1515801745 md5=80cf702675c9b02352bb19ca08f87947
path=./bin/rm ino=59626 mode=100755 nlink=1 uid=0 gid=0 size=67476 atime=1515801746 mtime=1487766225 ctime=1515801745 md5=4e98d2f7d6329becc39a30df2e169c5a
path=./bin/rmdir ino=59627 mode=100755 nlink=1 uid=0 gid=0 size=42836 atime=1515801809 mtime=1487766225 ctime=1515801745 md5=675c646659ced7856ac3b46707318b80
path=./bin/run-parts ino=59606 mode=100755 nlink=1 uid=0 gid=0 size=18228 atime=1515801802 mtime=1491153033 ctime=1515801744 md5=4ba240d25a1f3e6f58f3d9c06253fd06
path=./bin/sed ino=59227 mode=100755 nlink=1 uid=0 gid=0 size=112764 atime=1515801751 mtime=1486221368 ctime=1515801750 md5=85885bf09ec9790845d6d85140680601
path=./bin/setfont ino=59178 mode=100755 nlink=1 uid=0 gid=0 size=42752 atime=1515801811 mtime=1452012955 ctime=1515801809 md5=cb63972a79d791fd39a9c6f059408d36
path=./bin/setupcon ino=59182 mode=100755 nlink=1 uid=0 gid=0 size=38137 atime=1515801810 mtime=1491537328 ctime=1515801809 md5=7c30f5a2fcdd68f95412ad6b267ea738
path=./bin/sh ino=59166 mode=120777 nlink=1 uid=0 gid=0 size=4 atime=1515801746 mtime=1485235016 ctime=1515801744 target=dash
